feature,shap_importance
ut_sin,1.8477735460230487
ut_cos,1.3151032623083108
newell_phi_mean_30m,1.1449560803655492
omni_bz_gsm,0.6818971333653112
goes_by_gsm,0.630176074234688
doy_cos,0.395147412414088
omni_vx,0.36072032319098657
omni_f,0.27960698513854776
doy_sin,0.26685484839097284
goes_bt,0.26294301538393233
leo_dayside,0.23649647934102108
omni_vx_mean_30m,0.22994124692793627
goes_bz_gsm,0.1917773736764869
omni_pressure,0.1768371306679676
newell_phi,0.16558094682627153
omni_bz_gsm_mean_10m,0.1453303314690684
omni_vx_mean_10m,0.13206065989517227
omni_bz_gsm_std_30m,0.12609378467430252
goes_bx_gsm,0.11867117191584298
omni_proton_density,0.09021280196529156
omni_by_gsm,0.08533293366154593
leo_nightside,0.08152264856090759
goes_xrsb_log10_lag_60m,0.08038980235134757
newell_phi_valid_points_10m,0.07770109993072051
goes_xrsa_log10_roll_max_60m,0.07101463836804227
goes_xrsb_log10_roll_mean_60m,0.07059714234586915
newell_phi_mean_10m,0.06248030766605257
newell_phi_std_30m,0.0563731897447093
omni_bz_gsm_valid_points_10m,0.054703861708174595
goes_xrsb_minus_xrsa_log10,0.0515536465266689
goes_xrsa_log10_lag_60m,0.05113784397908252
goes_xrsb_log10_lag_15m,0.046542170437802885
goes_xrsb_flux,0.04089705893144234
leo_mid_lat,0.03789298489517336
goes_xrsb_log10_roll_max_60m,0.0371757420766456
goes_xrsb_log10_roll_mean_15m,0.03705895596785215
omni_bz_gsm_mean_30m,0.03685884096730366
omni_bx_gse,0.031002662285893934
leo_high_lat_count,0.021419195251089276
leo_high_lat,0.02132786375286413
omni_vx_std_30m,0.018428431162115417
newell_phi_std_10m,0.01818603434327559
goes_xrsa_log10_lag_5m,0.017784147059411535
goes_xrsb_flux_log10,0.017381472199381548
goes_xrsa_log10_roll_mean_60m,0.01716129752147527
omni_bz_gsm_std_10m,0.016663154978090507
goes_xrsb_log10_lag_5m,0.016610328871520055
omni_bz_gsm_valid_points_30m,0.016317493846586754
goes_xrsa_flux_log10,0.015527397681260453
goes_xrsa_flux,0.013138652575338087
goes_xrsa_log10_lag_15m,0.012471080177527715
omni_vx_std_10m,0.012124943346764522
leo_dayside_count,0.011737717926992653
goes_xrsa_log10_roll_mean_15m,0.010983063987106313
leo_mid_lat_count,0.010178563485921083
newell_phi_valid_points_30m,0.00985929508776432
omni_vx_valid_points_30m,0.007836044078548984
omni_vx_valid_points_10m,0.0073351060932906045
goes_xrsa_log10_roll_nvalid_60m,0.0066780890462195906
goes_xrsa_log10_roll_nvalid_15m,0.005785445770201689
leo_nightside_count,0.004188925884364225
goes_xrsb_log10_roll_nvalid_60m,0.0009022476192276592
goes_xrsb_log10_roll_nvalid_15m,0.0
