source,last_data,gap_hours
OMNI Solar Wind (L1),2024-12-31 23:59:00+00:00,0.0
GOES XRS (Solar),2024-12-31 23:59:00+00:00,0.0
GOES Magnetometer (GEO),2024-12-31 23:59:00+00:00,0.0
Swarm LEO,2024-12-31 23:59:00+00:00,0.0
SuperMAG ABK (Ground),2024-12-31 23:59:00+00:00,0.0
SuperMAG BJN (Ground),2024-12-31 23:59:00+00:00,0.0
SuperMAG TRO (Ground),2024-12-31 23:59:00+00:00,0.0
