feature,coefficient
goes_bx_gsm,4.0249633246018295
goes_by_gsm,-3.273176825840057
goes_bt,1.9773600898393007
ut_sin,-1.0907954535031166
omni_vx_valid_points_30m,-0.9540109077431445
newell_phi_valid_points_30m,0.9252045832647667
omni_vx,-0.7369600862015427
goes_xrsb_log10_roll_mean_60m,0.606803214561945
doy_cos,0.5308254275574471
ut_cos,0.5048615092871406
omni_bz_gsm,-0.47340137606968596
omni_vx_valid_points_10m,-0.4680719993819449
goes_xrsb_log10_lag_15m,0.38424913557168416
omni_bz_gsm_valid_points_10m,-0.36024157757138936
goes_xrsb_log10_roll_mean_15m,-0.3218348829281527
omni_pressure,0.31983781687216956
omni_bz_gsm_mean_10m,-0.29536759742667623
goes_xrsa_log10_roll_mean_60m,-0.29523479535293523
newell_phi_valid_points_10m,0.28080014920984525
goes_bz_gsm,-0.2693125031232711
omni_bz_gsm_mean_30m,-0.26119854429097594
leo_dayside,0.2210085641888414
omni_vx_mean_30m,-0.21616713068527496
goes_xrsb_log10_lag_5m,-0.1946458956614713
omni_f,0.19334740199193742
goes_xrsb_flux,-0.18849928778180944
goes_xrsa_flux,0.17650214377081008
omni_bz_gsm_std_30m,0.17497756872941836
goes_xrsa_log10_roll_mean_15m,0.16373551882291396
goes_xrsa_log10_lag_60m,-0.1504629797341285
goes_xrsa_log10_roll_max_60m,0.1347820515738075
omni_proton_density,-0.13253851069482758
leo_nightside,0.1323931080910051
goes_xrsb_log10_roll_max_60m,-0.1320021270159891
doy_sin,-0.13170378590617016
omni_by_gsm,0.11034384914008782
goes_xrsa_log10_lag_15m,-0.09329984496010324
leo_high_lat_count,-0.07947226551336871
leo_dayside_count,-0.07906588260125295
goes_xrsa_flux_log10,0.07212537644852142
leo_high_lat,-0.06258028120610203
omni_vx_mean_10m,-0.05171654103734937
leo_mid_lat_count,-0.04697535361805568
newell_phi_mean_10m,0.046894437491347
goes_xrsb_log10_lag_60m,-0.04491213263889975
newell_phi_mean_30m,0.04177697705410718
goes_xrsb_flux_log10,-0.041362173182843166
goes_xrsa_log10_lag_5m,0.040851666855509
omni_bx_gse,-0.03971552122738153
newell_phi_std_30m,0.03744324744126228
leo_mid_lat,0.03506634265807016
omni_vx_std_30m,-0.03150705047848844
omni_bz_gsm_std_10m,0.026895179305484518
leo_nightside_count,-0.021539736119812924
goes_xrsb_log10_roll_nvalid_60m,-0.018348432105715993
goes_xrsa_log10_roll_nvalid_60m,-0.01822731066997321
goes_xrsb_minus_xrsa_log10,-0.012353268579623877
goes_xrsa_log10_roll_nvalid_15m,0.010211824568500607
goes_xrsb_log10_roll_nvalid_15m,0.010130680925447203
omni_bz_gsm_valid_points_30m,0.009982655043861153
newell_phi_std_10m,0.009124712360553136
newell_phi,0.008104433829256767
omni_vx_std_10m,-0.008074532404732679
